Date,Open,High,Low,Close,Volume
2023-01-01,100,102,99,101,1000
2023-01-02,101,103,100,102,1200
2023-01-03,102,105,101,103,1100
2023-01-04,103,104,102,102,1050
2023-01-05,102,103,100,101,1300
2023-01-06,101,102,99,100,1250
2023-01-07,100,102,98,101,1150
2023-01-08,101,103,100,102,1350
2023-01-09,102,105,101,104,1400
2023-01-10,104,106,103,105,1500
2023-01-11,105,105,102,103,1450
2023-01-12,103,104,101,102,1600
2023-01-13,102,103,100,101,1550
2023-01-14,101,102,99,100,1400
2023-01-15,100,101,98,99,1350
2023-01-16,99,101,98,100,1500
2023-01-17,100,102,99,101,1650
2023-01-18,101,103,100,102,1700
2023-01-19,102,104,101,103,1600
2023-01-20,103,105,102,104,1550
2023-01-21,104,106,103,105,1750
2023-01-22,105,107,104,106,1800
2023-01-23,106,108,105,107,1900
2023-01-24,107,109,106,108,2000
2023-01-25,108,110,107,109,2100
